Name,Location,Date Established,Area,Description
Acadia,Maine,1919-02-26,47389.67,A description of Acadia...blah blah blah
American Samoa,American Samoa,1988-10-31,9000.00,A description of American...blah blah blah
Arches,Utah,1929-04-12,76518.98,A description of Arches...blah blah blah
Badlands,South Dakota,1978-11-10,242755.94,A description of Badlands...blah blah blah
Big Bend,Texas,1944-06-12,801163.21,A description of Big...blah blah blah
Biscayne,Florida,1980-06-28,172924.07,A description of Biscayne...blah blah blah
Black Canyon of the Gunnison,Colorado,1999-10-21,32950.03,A description of Black...blah blah blah
Bryce Canyon,Utah,1928-02-25,35835.08,A description of Bryce...blah blah blah
Canyonlands,Utah,1964-09-12,337597.83,A description of Canyonlands...blah blah blah
Capitol Reef,Utah,1971-12-18,241904.26,A description of Capitol...blah blah blah
Carlsbad Caverns,New Mexico,1930-05-14,46766.45,A description of Carlsbad...blah blah blah
Channel Islands,California,1980-03-05,249561.00,A description of Channel...blah blah blah
Congaree,South Carolina,2003-11-10,26545.86,A description of Congaree...blah blah blah
Crater Lake,Oregon,1902-05-22,183224.05,A description of Crater...blah blah blah
Cuyahoga Valley,Ohio,2000-10-11,32860.73,A description of Cuyahoga...blah blah blah
Death Valley,"California and Nevada",1994-10-31,3372401.96,A description of Death...blah blah blah
Denali,Alaska,1917-02-26,4740911.72,A description of Denali...blah blah blah
Dry Tortugas,Florida,1992-10-26,64701.22,A description of Dry...blah blah blah
Everglades,Florida,1934-05-30,1508537.90,A description of Everglades...blah blah blah
Gates of the Arctic,Alaska,1980-12-02,7523897.74,A description of Gates...blah blah blah
Glacier,Montana,1910-05-11,1013572.41,A description of Glacier...blah blah blah
Glacier Bay,Alaska,1980-12-02,3224840.31,A description of Glacier...blah blah blah
Grand Canyon,Arizona,1919-02-26,1217403.32,A description of Grand...blah blah blah
Grand Teton,Wyoming,1929-02-26,309994.66,A description of Grand...blah blah blah
Great Basin,Nevada,1986-10-27,77180.00,A description of Great...blah blah blah
Great Sand Dunes,Colorado,2004-09-13,42983.74,A description of Great...blah blah blah
Great Smoky Mountains,"North Carolina and Tennessee",1934-06-15,521490.13,A description of Great...blah blah blah
Guadalupe Mountains,Texas,1966-10-15,86415.97,A description of Guadalupe...blah blah blah
Haleakalā,Hawaii,1916-08-01,29093.67,A description of Haleakalā...blah blah blah
Hawaii Volcanoes,Hawaii,1916-08-01,323431.38,A description of Hawaii...blah blah blah
Hot Springs,Arkansas,1921-03-04,5549.75,A description of Hot...blah blah blah
Isle Royale,Michigan,1940-04-03,571790.11,A description of Isle...blah blah blah
Joshua Tree,California,1994-10-31,789745.47,A description of Joshua...blah blah blah
Katmai,Alaska,1980-12-02,3674529.68,A description of Katmai...blah blah blah
Kenai Fjords,Alaska,1980-12-02,669982.99,A description of Kenai...blah blah blah
Kings Canyon,California,1940-03-04,461901.20,A description of Kings...blah blah blah
Kobuk Valley,Alaska,1980-12-02,1750716.50,A description of Kobuk...blah blah blah
Lake Clark,Alaska,1980-12-02,2619733.21,A description of Lake...blah blah blah
Lassen Volcanic,California,1916-08-09,106372.36,A description of Lassen...blah blah blah
Mammoth Cave,Kentucky,1941-07-01,52830.19,A description of Mammoth...blah blah blah
Mesa Verde,Colorado,1906-06-29,52121.93,A description of Mesa...blah blah blah
Mount Rainier,Washington,1899-03-02,235625.00,A description of Mount...blah blah blah
North Cascades,Washington,1968-10-02,504780.94,A description of North...blah blah blah
Olympic,Washington,1938-06-29,922650.86,A description of Olympic...blah blah blah
Petrified Forest,Arizona,1962-12-09,93532.57,A description of Petrified...blah blah blah
Pinnacles,California,2013-01-10,26605.73,A description of Pinnacles...blah blah blah
Redwood,California,1968-10-02,112512.05,A description of Redwood...blah blah blah
Rocky Mountain,Colorado,1915-01-26,265828.41,A description of Rocky...blah blah blah
Saguaro,Arizona,1994-10-14,91439.71,A description of Saguaro...blah blah blah
Sequoia,California,1890-09-25,404051.17,A description of Sequoia...blah blah blah
Shenandoah,Virginia,1926-05-22,199045.23,A description of Shenandoah...blah blah blah
Theodore Roosevelt,North Dakota,1978-11-10,70446.89,A description of Theodore...blah blah blah
Virgin Islands,United States Virgin Islands,1956-08-02,14688.87,A description of Virgin...blah blah blah
Voyageurs,Minnesota,1971-01-08,218200.17,A description of Voyageurs...blah blah blah
Wind Cave,South Dakota,1903-01-09,28295.03,A description of Wind...blah blah blah
Wrangell–​St. Elias,Alaska,1980-12-02,8323147.59,A description of Wrangell–​St...blah blah blah
Yellowstone,"Wyoming and Montana and Idaho",1872-03-01,2219790.71,A description of Yellowstone...blah blah blah
Yosemite,California,1890-10-01,761266.19,A description of Yosemite...blah blah blah
Zion,Utah,1919-11-19,146597.60,A description of Zion...blah blah blah